State_name	Name	State_name-Name	Rainfall (inches)	RainDays	Runoff	Station Name	Ptrecipitation Correction Factor	No. of Rain Days Correction Factor	Rmean	Kmean	LSavg	Cavg	Pavg
Alabama	Autauga	Alabama-Autauga	60	87.3	19	0 Default	0.814	0.424	374.7	0.20	0.29	0.14	0.99
Alabama	Baldwin	Alabama-Baldwin	60	104.4	25.875	AK ANCHORAGE WSCMO AP	0.620	0.209	550.0	0.21	0.18	0.20	0.99
Alabama	Barbour	Alabama-Barbour	60	89.2	18	AK ANNETTE WSO AIRPORT	0.919	0.570	376.7	0.19	0.56	0.15	0.94
Alabama	Bibb	Alabama-Bibb	60	97.8	21	AK COLD BAY WSO AIRPORT	0.685	0.217	375.0	0.25	1.09	0.05	0.99
Alabama	Blount	Alabama-Blount	60	95.5	24	AK FAIRBANKS WSO AIRPOR	0.493	0.124	325.0	0.26	0.77	0.10	0.96
Alabama	Bullock	Alabama-Bullock	60	97.2	18	AK KING SALMON WSO AP	0.592	0.190	375.0	0.25	0.36	0.05	0.96
Alabama	Butler	Alabama-Butler	60	97.8	18	AK MCGRATH WSO AIRPORT	0.600	0.185	425.0	0.24	0.43	0.10	0.95
Alabama	Calhoun	Alabama-Calhoun	60	97.8	23	AK ST PAUL ISLAND WSO A	0.570	0.253	325.0	0.27	0.36	0.15	1.00
Alabama	Chambers	Alabama-Chambers	60	97.8	20	AK YAKUTAT WSO AIRPORT	0.947	0.708	346.8	0.21	0.85	0.02	1.00
Alabama	Cherokee	Alabama-Cherokee	60	100.8	22.75	AL ABBEVILLE 1 NNW	0.913	0.585	300.0	0.29	0.56	0.20	0.85
Alabama	Chilton	Alabama-Chilton	60	90.4	20	AL BIRMINGHAM FAA ARPT	0.916	0.550	374.9	0.24	0.44	0.10	0.94
Alabama	Choctaw	Alabama-Choctaw	60	96.3	22	AL DADEVILLE 2	0.896	0.558	425.0	0.27	0.52	0.03	0.97
Alabama	Clarke	Alabama-Clarke	60	98.4	19	AL HALEYVILLE	0.923	0.591	450.0	0.27	0.30	0.08	1.00
Alabama	Clay	Alabama-Clay	60	98.3	26.333	AL HUNTSVILLE WSO AP	0.935	0.541	350.0	0.20	0.62	0.02	1.00
Alabama	Cleburne	Alabama-Cleburne	60	97.3	21.333	AL JACKSONVILLE	0.911	0.600	325.0	0.30	0.55	0.06	0.96
Alabama	Coffee	Alabama-Coffee	60	99.7	20	AL MOBILE WSO ARPT	0.941	0.547	450.0	0.18	0.38	0.14	0.84
Alabama	Colbert	Alabama-Colbert	60	97.8	24.5	AL MONTGOMERY WSO ARPT	0.937	0.564	300.0	0.29	0.33	0.23	0.99
Alabama	Conecuh	Alabama-Conecuh	60	93.3	20	AL THOMASVILLE	0.910	0.586	449.8	0.21	0.30	0.14	0.91
Alabama	Coosa	Alabama-Coosa	60	97.8	24	AL TUSCALOOSA OLIVER DA	0.930	0.611	350.3	0.20	0.54	0.03	0.99
Alabama	Covington	Alabama-Covington	60	100	21	AR ALUM FORK	0.911	0.596	474.7	0.20	0.36	0.09	0.93
Alabama	Crenshaw	Alabama-Crenshaw	60	97.8	18	AR BATESVILLE LIVESTOCK	0.929	0.632	425.0	0.19	0.36	0.15	0.90
Alabama	Cullman	Alabama-Cullman	60	101.7	24	AR BULL SHOALS DAM	0.879	0.537	325.0	0.25	0.65	0.06	0.96
Alabama	Dale	Alabama-Dale	60	97.8	20	AR CLARKSVILLE 6 NE	0.904	0.556	424.9	0.17	0.42	0.19	0.86
Alabama	Dallas	Alabama-Dallas	60	96.4	18	AR EUREKA SPRINGS 3 WNW	0.917	0.555	399.9	0.25	0.21	0.12	1.00
